콘텐츠ID,콘텐츠분류,제목,타이틀SEO,연관콘텐츠,지번주소,도로명주소,위도,경도,전화번호,성인(개인),성인(단체),청소년(개인),청소년(단체),어린이(개인),어린이(단체),노인(개인),노인(단체),국가유공자,장애인,단체적용인원,관람시간(분),비고
CNTS_000000000020277,관광지,공천포,공천포,,제주특별자치도 서귀포시 남원읍 신례리,제주특별자치도 서귀포시 남원읍 신례리,33.26769,126.645996,,,,,,,,,,,,,,
CONT_000000000500213,관광지,민오름(조천읍),민오름(조천읍),,제주특별자치도 제주시 조천읍 선흘리 산 141,제주특별자치도 제주시 조천읍 선흘리 산 141,33.4748404,126.4950266,,,,,,,,,,,,,,
CONT_000000000500556,관광지,제주빅볼랜드,제주빅볼랜드,,제주특별자치도 제주시 애월읍 어음리 산 3,제주특별자치도 제주시 애월읍 산록서로 15,33.3659432,126.35644,1588-6418 ,"33,000",,"27,500",,,,,,,,20,,"조브, 빅조브 체험 가능 홈페이지 참조"
CONT_000000000500180,관광지,마오름(맞보기)(안덕),마오름(맞보기)(안덕),,제주특별자치도 서귀포시 안덕면 산록남로,제주특별자치도 서귀포시 안덕면 산록남로,33.325733,126.40013,,,,,,,,,,,,,,
CNTS_000000000020685,관광지,제주월드21,제주월드21,,제주특별자치도 제주시 건입동 1442,제주특별자치도 제주시 임항로 17,33.51673,126.52715,,,,,,,,,,,,,,
CONT_000000000500055,관광지,"과오름(큰오름, 샛오름, 말젯오름)","과오름(큰오름, 샛오름, 말젯오름)",,제주특별자치도 제주시 애월읍 곽지리 산 1,제주특별자치도 제주시 애월읍 곽지리 산 1,33.44657762,126.3238801,,,,,,,,,,,,,,
CONT_000000000500232,관광지,백약이오름,백약이오름,,제주특별자치도 서귀포시 표선면 성읍리 산 1,제주특별자치도 서귀포시 표선면 성읍리 산 1,33.437283,126.79018,,,,,,,,,,,,,,
CNTS_000000000019089,관광지,오름터 민속마을,오름터 민속마을,,제주특별자치도 서귀포시 표선면 성읍리 599-1,제주특별자치도 서귀포시 표선면 성읍정의현로 99,33.391445,126.80072,,,,,,,,,,,,,,
CONT_000000000500564,관광지,제주실탄사격장,제주실탄사격장,,제주특별자치도 서귀포시 상예동 2802,제주특별자치도 서귀포시 소보리당로 164번길 62(상예동),33.2639753,126.3852041,,,,,,,,,,,,,,
CONT_000000000500560,관광지,제주승마공원,제주승마공원,,제주특별자치도 제주시 애월읍 녹고메길 152-1,제주특별자치도 제주시 애월읍 녹고메길 152-1,33.405148,126.40689,1544-9506,,,,,,,,,,,10,,"연중무휴/5세미만,85kg이상 승마제한 12:30-13;30 휴게시간 이용시 참고 / 숲길A(15분) 44,000/숲길B(30분) 66,000/초원A(15분) 33,000/초원B(30분) 55,000 C코스[숲+초원](60분) 110,000/사진촬영 관련 관광지 문의"
CONT_000000000500058,관광지,"광이오름 (괭이오름, 肝列岳)","광이오름 (괭이오름, 肝列岳)",,제주특별자치도 제주시 연동 산 62,제주특별자치도 제주시 연동 산 62,33.46847099,126.4950638,,,,,,,,,,,,,,
CNTS_000000000019613,관광지,제주카약,제주카약,,제주특별자치도 제주시 조천읍 함덕리 207-1,제주특별자치도 제주시 조천읍 평사길 19,33.5437998,126.6739948,,,,,,,,,,,,,,
CONT_000000000500316,관광지,서건도,서건도,,제주특별자치도 서귀포시 강정동 산 1,제주특별자치도 서귀포시 강정동 산 1,33.23007,126.49852,,,,,,,,,,,,,,
CNTS_000000000019091,관광지,묵리처녀당,묵리처녀당,,제주특별자치도 제주시 추자면 묵리 229-1,제주특별자치도 제주시 추자면 묵리 229-1,33.94317,126.31426,,,,,,,,,,,,,,
CONT_000000000500239,관광지,법화사지,법화사지,,제주특별자치도 서귀포시 하원동 1071-1,제주특별자치도 서귀포시 하원북로35번길 15-28,33.2653454,126.4576828,,,,,,,,,,,,,,
CNTS_000000000019646,관광지,제주프린지페스티벌,제주프린지페스티벌,,제주특별자치도 제주시 삼도2동 60-5,,33.512447,126.52219,,,,,,,,,,,,,,
CNTS_000000000019892,관광지,스쿠버스쿨,스쿠버스쿨,,제주특별자치도 제주시 도두이동 1669-3,제주특별자치도 제주시 서해안로 301,33.5089684,126.4776764,,,,,,,,,,,,,,
CONT_000000000500311,관광지,새신오름(신서악),새신오름(신서악),,제주특별자치도 제주시 한경면 청수리 2661-4,제주특별자치도 제주시 한경면 청수리 2661-4,33.298912,126.23928,,,,,,,,,,,,,,
CONT_000000000500387,관광지,수악 (물오름),수악 (물오름),,제주특별자치도 서귀포시 남원읍 하례리 산 10,제주특별자치도 서귀포시 남원읍 516로 1042,33.3616666,126.5291666,,,,,,,,,,,,,,
CNTS_000000000022257,관광지,타보카 월정리투명카약,타보카 월정리투명카약,,제주특별자치도 제주시 구좌읍 월정리 1400-4,제주특별자치도 제주시 구좌읍 월정리 1400-4,33.56346,126.78025,,,,,,,,,,,,,,
CNTS_000000000020952,관광지,지포뮤지엄,지포뮤지엄,,제주특별자치도 서귀포시 성산읍 고성리 127-2,제주특별자치도 서귀포시 성산읍 섭지코지로 107,33.430576,126.92777,,,,,,,,,,,,,,
CONT_000000000500390,관광지,쉬리의언덕,쉬리의언덕,,제주특별자치도 서귀포시 색달동 3039-1,제주특별자치도 서귀포시 중문관광로72번길 114,33.244597,126.406077,,,,,,,,,,,,,,
CONT_000000000500230,관광지,"방주오름 (방지오름, 방제오름)","방주오름 (방지오름, 방제오름)",,제주특별자치도 제주시 한림읍 명월리 679,제주특별자치도 제주시 한림읍 명월리 679,33.3772555,126.2851832,,,,,,,,,,,,,,
